#,Thermostat,identifier,411952601665
#,Thermostat,name,Main Floor
#,Start,date,2025-06-27
#,End,date,2025-07-28

Date,Time,System Setting,System Mode,Calendar Event,Program Mode,Cool Set Temp (F),Heat Set Temp (F),Current Temp (F),Current Humidity (%RH),Outdoor Temp (F),Wind Speed (km/h),Cool Stage 1 (sec),Heat Stage 1 (sec),Aux Heat 1 (sec),Fan (sec),DM Offset,Thermostat Temperature (F),Thermostat Humidity (%RH),Family Room (F),Family Room2
2025-06-27,01:00:00,cool,compressorCoolOff,,Sleep,78,62,76.5,56,72.9,0,0,0,0,0,,76.6,56,76.4,0,
2025-06-27,01:05:00,cool,compressorCoolOff,,Sleep,78,62,76.5,56,72.9,0,0,0,0,0,,76.6,56,76.4,0,
2025-06-27,01:10:00,cool,compressorCoolOff,,Sleep,78,62,76.5,56,72.9,0,0,0,0,0,,76.6,56,76.4,0,
2025-06-27,01:15:00,cool,compressorCoolOff,,Sleep,78,62,76.5,56,72.9,0,0,0,0,0,,76.7,56,76.4,0,
2025-06-27,01:20:00,cool,compressorCoolOff,,Sleep,78,62,76.5,56,72.9,0,0,0,0,0,,76.7,56,76.4,0,
2025-06-27,01:25:00,cool,compressorCoolOff,,Sleep,78,62,76.6,56,72.9,0,0,0,0,0,,76.8,56,76.4,0,
2025-06-27,01:30:00,cool,compressorCoolOff,,Sleep,78,62,76.6,56,72.9,0,0,0,0,0,,76.8,56,76.4,0,
2025-06-27,01:35:00,cool,compressorCoolOff,,Sleep,78,62,76.5,56,72.9,0,0,0,0,0,,76.7,56,76.4,0,
2025-06-27,01:40:00,cool,compressorCoolOff,,Sleep,78,62,76.6,56,72.9,0,0,0,0,0,,76.8,56,76.4,0,
2025-06-27,01:45:00,cool,compressorCoolOff,,Sleep,78,62,76.6,56,72.9,0,0,0,0,0,,76.8,56,76.4,0,
2025-06-27,01:50:00,cool,compressorCoolOff,,Sleep,78,62,76.6,56,72.9,0,0,0,0,0,,76.8,56,76.4,0,
2025-06-27,01:55:00,cool,compressorCoolOff,,Sleep,78,62,76.6,57,72.9,0,0,0,0,0,,76.8,57,76.4,0,
2025-06-27,02:00:00,cool,compressorCoolOff,,Sleep,78,62,76.6,57,71.8,0,0,0,0,0,,76.8,57,76.4,0,
2025-06-27,02:05:00,cool,compressorCoolOff,,Sleep,78,62,76.6,57,71.8,0,0,0,0,0,,76.8,57,76.4,0,
2025-06-27,02:10:00,cool,compressorCoolOff,,Sleep,78,62,76.6,57,71.8,0,0,0,0,0,,76.8,57,76.4,0,
